Item SKU,Item Name,Quantity,Unit Price,Total,last month Qty,last month Dollar
MDL-195-FAT-BOY,Our Fatguy a Faithful Replica of the Model 195 Fatboy Now in Production!,67,99.0,6633.0,11,1089.0
ECO-STR-A-JNT,ECO STORM - A Jaunty 2-Piece Razor With a Zest for Life!,3,24.99,74.97,1,24.99
FRS-ITS-LK-THE,Frost - Its Like the 23C On Steroids!!!!,2,19.5,39.0,1,19.5
SRR-100-STN-STL,Sierra - 100% Stainless Steel Razor Polished to a Mirror Finish.,8,40.0,320.0,5,200.0
JAVA104,New Sumatra Vintage Classic Double Edge Safety 3-Piece Razor for Shaving,5,13.24,66.2,3,39.72
WV,Wave is a Gentle Open Comb Razor. Only $15.00,2,15.0,30.0,2,30.0
RPL-101-DTN-CRM,REPLITECH CHROME - STAINLESS STEEL (TYPE 304) BALL END HANDLE.,11,30.0,330.0,3,90.0
RPL-JFK-DTN,"REPLITECH ""JFK EDITION"" - ONLY SIX WERE EVER MADE!! Limited Quantities Available.",32,49.0,1568.0,6,294.0
,New Gillette Tech 3-Piece Vintage Ball End Safety Razor Replica 1965 w/Bonuses,7,39.45,276.15000000000003,3,118.35000000000001
MRC-SFT-RZR-GLM,Americano Safety Razor. Gleaming Gun Metal (black) & Gold Finish. We must be crazy selling this razor for the price we are!,4,12.99,51.96,1,12.99
Mahj-soap-lux,Maharaja's Delite Luxury Shave Soap. This soap smells fantastic and There is Nothing Else Like It.,8,10.5,84.0,2,21.0
GMM-XCL-SVN-CNT,Gememe - Quality Platinum Coated Razor Blades. Only $0.075 per blade.,4,13.5,54.0,3,40.5
ICE-LXR-SHV-SP1,Tobacco Road Luxury Shave Soap,7,10.5,73.5,3,31.5
ICE-A-24K-GLD,"ICE IS GSCI's BEAUTIFUL MID-AGGRESSION, SUPER HEAVY, AND LONG HANDLE RAZOR. 24K GOLD OR CHROME EDITIONS AVAILABLE.",8,37.5,300.0,3,112.5
RPL-A-TRB-TO,REPLI SPEED A TRIBUTE TO A 1949 GILLETTE SUPER SPEED. WE WONDERFULLY CAPTURED THE SPIRIT OF THE ORIGINAL.,15,35.0,525.0,2,70.0
JV-SPR,JAVA Espresso Safety Razor. 100% Noble Golden Brass. Lifetime Warranty.,9,27.99,251.91,3,83.97
BLC-TGR-NEW-100,BLACK TIGER (NEW!!) - A 100% STEEL RAZOR AT THIS AMAZING PRICE!,10,17.0,170.0,1,17.0
JV-SRS-BRS,JAVA Series Barista,1,9.0,9.0,1,9.0
THE-MZN-CHL-SNG,The Amazing Challenger Single Edge Razor,11,4.5,49.5,3,13.5
AN-MPR-R41-TRB-RS-GLD,Tribute R41+. An improved R41 At Half of the Price.,3,29.99,89.97,1,29.99
HTT-WWW-YTB-COM,Ingrown Hair? Tough Beard? Calypso May Be Your Answer.,6,20.0,120.0,1,20.0
AN-MPR-R41-TRB-CHR-BLC,Tribute R41+. An improved R41 At Half of the Price.,5,29.99,149.95,3,89.97
DRB-XTR-RZR-BLD,Derby Extra Razor Blades (QTY 100),1,11.99,11.99,1,11.99
GMN-IS-THE-FRS,GEMINI is the first really great razor developed specially with head shavers in mind!,1,40.0,40.0,1,40.0
JAVA102,Espresso Double Edge Safety Razor Improved Weishi 9306 Shaving Blade & Stand.,6,20.0,120.0,2,40.0
RPL-MDL-101-STN,REPLITECH EXECUTIVE EDITION - TYPE 304 STAINLESS STEEL. BEAUTIFUL CHROME AND BLACK.,1,40.0,40.0,1,40.0
TBC-RD-LXR-SHV,Bay Rum Luxury Shave Soap,3,10.5,31.5,1,10.5
ICE-LXR-SHV-SP,ICE Luxury Shave Soap,3,10.5,31.5,1,10.5
ICE-MNT-FTR,ICE Mentholated Aftershave.,5,24.99,124.94999999999999,0,0.0
TSN-THE-CHN-HD,Tsunami - The Channel Head Open Comb Razor With Far Eastern Flare.,1,29.99,29.99,0,0.0
ICE-IS-GSC-S,"ICE SWAROVSKI EDITION IS AN UPSCALE MODEL OF GSCI's BEAUTIFUL MID-AGGRESSION, SUPER HEAVY, AND LONG HANDLE ICE RAZOR. 24K GOLD HANDLE WITH BLACK HEAD CAP INSET WITH THE FIRE OF A GENUINE SWAROVSKI CRYSTAL.",2,45.0,90.0,0,0.0
THN-RZR,Thunder Razor - Mid Aggression. Heavy Butterfly Design. Long Handle.,5,22.0,110.0,0,0.0
DBL-STN-DBL-DLX,Diablo Smooth Shaving Excellence at an Amazing Price.,5,17.5,87.5,0,0.0
SHV-DE-BLD-WE,SHAVERBOY DE BLADES (x50)- WE HAVE NEVER FOUND A BETTER BLADE ANYWHERE! ONLY 10 CENTS A BLADE!,10,5.0,50.0,0,0.0
STM-THE-RZR-THT,STEAM - The Razor That Every One is HOT For.,2,33.74,67.48,0,0.0
THN-GLL-STR-BLL,Authentic Gillette Stirling Ball End,2,30.0,60.0,0,0.0
AN-MPR-R41-TRB-BRS-CHR,Tribute R41+. An improved R41 At Half of the Price.,3,29.99,89.97,0,0.0
RN-3-PC-RZR,RAIN 3-Piece Razor Defines What Traditional Shaving Is All About!,1,29.74,29.74,0,0.0
CPP-2-JST-A,"Cappuccino 2 - Just a Beautiful Well-Made, Mid Aggression Razor.",14,25.0,350.0,0,0.0
MGH-BRS,Mighty Brush Model 750 - An inexpensive Little Synthetic Brush That is HUGE on Performance.,1,7.0,7.0,0,0.0
MST-WMN-S-DTN,MIST WOMEN'S EDITION - ITS LIKE THE 33C REBORN!,1,19.99,19.99,0,0.0
ICE-IS-GSC-S1,ICE IS GSCI's Beautiful Original Design. Heavy. Long Handle. Mid-Agression.,4,39.99,159.96,0,0.0
VNT-196-ERA-BRT,VINTAGE 1966 Era British Gillette Tech in AAA Condition. Shave Ready. Referbished. Stock number T101.,1,25.0,25.0,0,0.0
OUR-XCL-I-BRS,"Our Exclusive ""i-Brush",5,15.5,77.5,0,0.0
RST-SHV-SYS-BLD,"Ristretto Shave System: Bold, Beautiful and Heavy. Ristretto is capable of a 1 pass shave.",1,25.0,25.0,0,0.0
VNT-195-SPR-SPD6,Vintage 1956 Super Speed in AAA (Near Perfect Condition!) (B-4) Shave Ready & Reconditioned. Stock number SS7,1,30.0,30.0,0,0.0
SHV-THR-PRS-OIL1,"B.A.D. Shave Oil. Use as a Pre Shave, in Place of an After Shave Balm, and Even Between Passes. 2.5 Ounces for only $10.50!",3,10.5,31.5,0,0.0
GRS-MKS-ANY-DE,AGRESSO MAKES ANY DOUBLE EDGE RAZOR ADJUSTABLE IN SECONDS!!!,2,4.5,9.0,0,0.0
