Row Number or Column Name,Error Message
919,"('problem at row No.: ', '919', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1184,"('problem at row No.: ', '1184', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1264,"('problem at row No.: ', '1264', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1271,"('problem at row No.: ', '1271', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1307,"('problem at row No.: ', '1307', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1357,"('problem at row No.: ', '1357', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1465,"('problem at row No.: ', '1465', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1466,"('problem at row No.: ', '1466', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1468,"('problem at row No.: ', '1468', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1559,"('problem at row No.: ', '1559', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1601,"('problem at row No.: ', '1601', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
1863,"('problem at row No.: ', '1863', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
2271,"('problem at row No.: ', '2271', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
2274,"('problem at row No.: ', '2274', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
2536,"('problem at row No.: ', '2536', ' and column: LineItem SKU, SKU can not be null, please put a sku or delete specific row')"
